ID,Standard,Difficulty,Type,Question,CorrectAnswer,Solution
Q1.1,7.G.A.1,Medium,CR,"Rect 6.8x4cm. Scale 1cm=5ft. Find A: Actual L, B: Actual Area, C: Scale for 2.125in.","A: 34ft, B: 680sqft, C: 1in=16ft",6.8*5=34; (4*5)*34=680; 34/2.125=16.
Q4.1,7.RP.A.1,Medium,MC,Leaks 5/9 liter in 2/5 hour. Liter/hour?,1  7/18,(5/9)*(5/2)=25/18=1 7/18.
Q5.3,7.NS.A.3,Hard,CR,"4.5 cups mix: 25% peanuts, 1/3 raisins, 2/9 almonds. Choc cups?",7/8 cup,4.5-(1.125+1.5+1)=0.875=7/8.
Q5.7,7.NS.A.3,Hard,CR,"Recipe: 1c oil, 5/8c vin, 1/2c honey, 1tbsp mustard. Servings at 3tbsp?",11,(8+5+4+0.5)*2 / 3 = 11.66 -> 11.
Q7.4,7.G.B.6,Hard,MC,"Parallelogram (26x16) + Trapezoid (26,40 bases, 16h). Total Area?",944 cm^2,416+528=944.
Q7.8,7.G.B.6,Hard,MC,"Sidewalk: Rect(108), Square(36), 2 Tri(36). Total Area?",180 ft^2,108+36+36=180.
Q7.9,7.G.B.6,Hard,MC,"Net: 2 Tris (b12, h8) + Rects (12x10, 12x10, 12x12). Surface Area?",480 in^2,96+384=480.
Q8.1,7.SP.C.8,Hard,CR,"Spinner X (R,B) and Y (1,2,3). P(Red OR Odd)?",6-May,1/2 + 2/3 - 1/3 = 5/6.
Q8.8,7.SP.B.3,Medium,MC,Range J (59-46=13) and Range K (56-47=9). Difference?,4,13-9=4.
Q8.15,7.SP,Easy,MC,78 choc users / 104 total customers. Percent?,75%,78/104=0.75=75%.
Q8.19,7.SP,Easy,MC,"Bird=6, Total=30. Percent?",20%,6/30=0.2=20%.
Q9.1,7.RP.A.1,Hard,WP,Runs 3/4 mile in 1/3 hour. Speed?,2.25 mph,(3/4)*3=2.25.
